EURO STOXX 50 Volatility Indices,,,,,,,,,
 ,VSTOXX,Sub-Index 1M,Sub-Index 2M,Sub-Index 3M,Sub-Index 6M,Sub-Index 9M,Sub-Index 12M,Sub-Index 18M,Sub-Index 24M
Date,V2TX,V6I1,V6I2,V6I3,V6I4,V6I5,V6I6,V6I7,V6I8
04.01.1999,18.2033,21.2458,17.5555,31.2179,33.3124,33.7327,33.2232,31.8535,23.8209
05.01.1999,29.6912,36.6400,28.4274,32.6922,33.7326,33.1724,32.8457,32.2904,25.0532
06.01.1999,25.1670,25.4107,25.1351,32.2186,32.6459,31.9673,32.9260,33.2871,26.0107
07.01.1999,32.5205,35.4410,32.2004,36.1265,34.5150,33.1095,33.2843,33.7269,26.2205
08.01.1999,33.2296,35.8846,33.0020,36.0813,36.3964,33.4658,33.4837,33.9227,26.3672
11.01.1999,36.8411,46.9742,36.4643,39.9139,38.0755,34.6165,34.4576,34.6615,26.6732
12.01.1999,37.5664,48.6277,37.2998,40.5525,38.7981,35.0575,37.5290,36.5965,28.0273
13.01.1999,39.7373,55.2934,39.5218,43.0083,40.1301,36.0443,38.3889,37.2219,28.1443
14.01.1999,39.1373,NA,39.9544,41.7597,40.5913,36.3330,38.6781,37.4249,28.1515
15.01.1999,38.6741,NA,39.0602,40.1232,39.2451,35.9745,37.7796,36.7660,28.0793
18.01.1999,38.5439,38.8913,41.5457,19.9845,39.4602,37.3577,38.0549,37.3479,28.5360
19.01.1999,38.7869,38.9344,41.5739,24.2038,39.2582,37.3558,38.0546,37.0269,28.3321
20.01.1999,35.5535,35.5060,38.4053,21.5040,39.1608,36.0004,37.5174,35.5070,27.3772
21.01.1999,36.9171,36.6065,40.1856,25.5530,38.9945,35.7873,38.5652,35.1679,27.1040
22.01.1999,39.9439,39.3615,43.1443,25.7346,41.1989,37.3538,39.5006,36.1562,27.3475
25.01.1999,40.7034,39.6008,42.8691,26.0348,41.0135,37.2661,39.4487,36.0909,27.3469
26.01.1999,42.7544,41.8125,44.2239,26.9608,41.5267,38.7847,40.1422,36.9609,27.9613
27.01.1999,41.7569,40.5969,43.2058,26.8408,41.2617,39.3234,40.4721,36.9170,27.5299
28.01.1999,39.1479,38.0734,40.2463,26.2720,39.5856,38.0631,39.1555,36.5641,27.4370
29.01.1999,37.6140,37.2200,37.9520,25.7061,39.0021,37.6582,38.9172,35.6565,27.3676
01.02.1999,37.0314,35.9769,37.5483,25.2350,38.2104,37.0932,39.4165,35.3163,27.2398
02.02.1999,38.6119,37.9446,38.8876,26.2028,39.3145,38.0505,38.6181,35.8899,27.4633
03.02.1999,39.9634,38.9465,40.3120,26.4374,39.6919,36.7187,38.9391,36.2264,27.5566
