EURO STOXX 50 Volatility Indices,,,,,,,,,
 ,VSTOXX,Sub-Index 1M,Sub-Index 2M,Sub-Index 3M,Sub-Index 6M,Sub-Index 9M,Sub-Index 12M,Sub-Index 18M,Sub-Index 24M
Date,V2TX,V6I1,V6I2,V6I3,V6I4,V6I5,V6I6,V6I7,V6I8
28.01.2000,29.0238,28.8193,29.1998,23.0490,28.2877,27.0884,26.5446,25.5012,21.6465
31.01.2000,31.9687,32.6417,31.6264,23.9211,30.0196,28.2253,27.2437,25.8613,21.9275
01.02.2000,30.1224,30.6889,29.8823,23.6252,28.9939,27.4800,26.7477,25.6305,22.2295
02.02.2000,29.5014,30.1294,29.2793,23.2266,28.7116,27.4852,26.5649,25.5640,22.1113
03.02.2000,28.9268,30.2447,28.5338,21.8773,28.0598,27.0252,26.1552,25.2452,21.8969
04.02.2000,28.6263,29.6778,28.3691,21.5774,28.3257,27.3250,26.5992,25.7457,22.4896
07.02.2000,29.9433,32.6134,29.5878,23.6059,28.8654,27.7331,26.9093,25.7793,22.1012
08.02.2000,28.5691,31.0409,28.3117,21.7025,28.3839,27.5232,26.7152,25.4643,21.9809
09.02.2000,29.5142,31.9672,29.3192,24.2389,29.3766,28.3731,27.3592,26.0304,22.9430
10.02.2000,30.1312,33.1874,29.9496,24.4633,29.7546,28.6453,27.5731,26.2937,23.1097
11.02.2000,29.1778,32.5752,29.0336,23.3485,29.3958,28.4717,27.4206,26.2177,23.3942
14.02.2000,32.9205,39.6154,32.8613,25.9730,31.4001,29.6574,28.6177,27.3905,23.5863
15.02.2000,33.9884,41.3574,33.9675,27.4462,32.3166,30.2703,29.1233,27.5049,23.8987
16.02.2000,32.5563,42.3350,32.6342,26.6576,31.4970,29.8481,28.7803,26.8906,23.7485
17.02.2000,30.9239,NA,31.3188,25.6121,30.4582,29.2418,28.1932,26.2465,23.2149
18.02.2000,30.3079,NA,30.9865,25.5356,30.2096,28.6411,27.6829,26.1126,23.0677
21.02.2000,30.9721,32.6419,26.7008,13.8554,30.8307,29.2741,28.2696,26.4673,23.2822
22.02.2000,30.7722,32.6484,26.9936,16.5214,31.0969,29.3427,28.3428,26.5174,23.2767
23.02.2000,29.5958,31.6045,26.3308,16.4956,30.6914,29.1660,28.2497,26.4844,23.2876
24.02.2000,29.5094,31.7154,26.5650,16.5853,30.7001,29.2490,28.4451,26.5267,23.3079
25.02.2000,27.0920,29.8295,23.9869,15.1934,29.7057,28.4167,27.7600,25.9405,22.9941
28.02.2000,29.0865,32.4289,26.8398,18.6602,31.1312,29.6176,28.6804,26.4417,23.2634
29.02.2000,28.7829,30.8743,27.6360,18.2310,30.2247,29.0543,28.1246,26.2278,23.0913
01.03.2000,27.6825,29.6228,26.7837,19.2955,29.5979,28.2981,27.8608,25.8553,22.9459
02.03.2000,24.7261,27.0782,23.7886,17.2609,28.1676,27.2672,26.9342,25.0109,22.3912
